Annual percent technical improvement (start),,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
602,,,,,,,,,,,,,
,,"KJIMP(J,L,M)",,,,,,,,,,,
period,region,UnMgd,MgdForest,Pasture,AnimPrds,Biomass,FoodGr,CoarseGr,OilCrops,MiscCrops,Empty,Empty,
3,1,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0,USA     
3,2,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0,Canada  
3,3,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0,WEUR    
3,4,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0,Japan   
3,5,0,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0,0,Aus&NZ  
3,6,0,0.005,0,0,0.01,0.012,0.012,0.012,0.012,0,0,FSU     
3,7,0,0.005,0,0,0.01,0.013,0.013,0.013,0.013,0,0,ACENP   
3,8,0,0.005,0,0,0.01,0.015,0.015,0.015,0.015,0,0,MidEast 
3,9,0,0.005,0,0,0.01,0.012,0.012,0.012,0.012,0,0,Africa  
3,10,0,0.005,0,0,0.01,0.013,0.013,0.013,0.013,0,0,LatAmer 
3,11,0,0.005,0,0,0.01,0.012,0.012,0.012,0.012,0,0,SEAsia  
3,12,0,0.005,0,0,0.01,0.012,0.012,0.012,0.012,0,0,EEUR    
3,13,0,0.005,0,0,0.01,0.012,0.012,0.012,0.012,0,0,Korea   
3,14,0,0.005,0,0,0.01,0.013,0.013,0.013,0.013,0,0,India   
0,0,0,0,0,0,0,0,0,0,0,0,0,

Annual percent technical improvement (for later period),,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
602,,,,,,,,,,,,,
,,"KJIMP(J,L,M)",,,,,,,,,,,
period,region,UnMgd,MgdForest,Pasture,AnimPrds,Biomass,FoodGr,CoarseGr,OilCrops,MiscCrops,Empty,Empty,
6,1,0,0.005,0,0,0.005,0.005,0.005,0.005,0.005,0,0,USA     
6,2,0,0.005,0,0,0.005,0.005,0.005,0.005,0.005,0,0,Canada  
6,3,0,0.005,0,0,0.005,0.005,0.005,0.005,0.005,0,0,WEUR    
6,4,0,0.005,0,0,0.005,0.005,0.005,0.005,0.005,0,0,Japan   
6,5,0,0.005,0,0,0.005,0.005,0.005,0.005,0.005,0,0,Aus&NZ  
6,6,0,0.005,0,0,0.005,0.007,0.007,0.007,0.007,0,0,FSU     
6,7,0,0.005,0,0,0.005,0.005,0.005,0.005,0.005,0,0,ACENP   
6,8,0,0.005,0,0,0.005,0.006,0.006,0.006,0.006,0,0,MidEast 
6,9,0,0.005,0,0,0.005,0.009,0.009,0.009,0.009,0,0,Africa  
6,10,0,0.005,0,0,0.005,0.008,0.008,0.008,0.008,0,0,LatAmer 
6,11,0,0.005,0,0,0.005,0.005,0.005,0.005,0.005,0,0,SEAsia  
6,12,0,0.005,0,0,0.005,0.005,0.005,0.005,0.005,0,0,EEUR    
6,13,0,0.005,0,0,0.005,0.005,0.005,0.005,0.005,0,0,Korea   
6,14,0,0.005,0,0,0.005,0.01,0.01,0.01,0.01,0,0,India   
0,0,0,0,0,0,0,0,0,0,0,0,0,

EoF
