-125000 350
-115000 350
-114000 350
-113000 400
-112000 225
-111000 250
-109000 225
-105000 350
-104000 100
-103000 75
-102000 50
-100000 100
-98000 250
-96000 250
-94000 300
-91000 150
-89000 125
-84000 50
-80000 350
-76000 500
-73000 600
-72000 70
-70000 400
-69000 125
-68000 300
-66000 -25
-65000 -250
-64000 -400
-62000 -400
-61000 -350
-59000 -50
-58000 0
-56000 200
-54000 300
-53000 200
-51000 250
-43001 250
-43000 300
-42000 300
-40000 200
-30000 200
-26000 150
-25000 -450
-20000 -500
-18000 -900
-17001 -900
-17000 -175
-15000 -50
-14999 200
-12000 200
-8000 200
-6000 300
-4999 300
-4000 700
-1000 700
0 300
