INPUT_TABLE,,,,,,
Variable ID,,,,,,
1,,,,,,
,,,,,,
GCAM_ID,GCAM_region_name,GCAM_AEZ,GCAM_crop,final_above,final_below,Year
5,Australia_NZ,1,biomass,1,1,2020
8,Middle East,1,biomass,1,1,2020
9,Africa,1,biomass,1,1,2020
10,Latin America,1,biomass,1,1,2020
11,Southeast Asia,1,biomass,1,1,2020
14,India,1,biomass,1,1,2020
5,Australia_NZ,2,biomass,1,1,2020
8,Middle East,2,biomass,1,1,2020
9,Africa,2,biomass,1,1,2020
10,Latin America,2,biomass,1,1,2020
14,India,2,biomass,1,1,2020
5,Australia_NZ,3,biomass,1,1,2020
8,Middle East,3,biomass,1,1,2020
9,Africa,3,biomass,1,1,2020
10,Latin America,3,biomass,1,1,2020
11,Southeast Asia,3,biomass,1,1,2020
14,India,3,biomass,1,1,2020
3,Western Europe,4,biomass,1,1,2020
5,Australia_NZ,4,biomass,1,1,2020
7,China,4,biomass,1,1,2020
9,Africa,4,biomass,1,1,2020
10,Latin America,4,biomass,1,1,2020
11,Southeast Asia,4,biomass,1,1,2020
14,India,4,biomass,1,1,2020
5,Australia_NZ,5,biomass,1,1,2020
7,China,5,biomass,1,1,2020
9,Africa,5,biomass,1,1,2020
10,Latin America,5,biomass,1,1,2020
11,Southeast Asia,5,biomass,1,1,2020
14,India,5,biomass,1,1,2020
5,Australia_NZ,6,biomass,1,1,2020
7,China,6,biomass,1,1,2020
9,Africa,6,biomass,1,1,2020
10,Latin America,6,biomass,1,1,2020
11,Southeast Asia,6,biomass,1,1,2020
14,India,6,biomass,1,1,2020
1,USA,7,biomass,1,1,2020
2,Canada,7,biomass,1,1,2020
3,Western Europe,7,biomass,1,1,2020
5,Australia_NZ,7,biomass,1,1,2020
6,Former Soviet Union,7,biomass,1,1,2020
7,China,7,biomass,1,1,2020
8,Middle East,7,biomass,1,1,2020
9,Africa,7,biomass,1,1,2020
10,Latin America,7,biomass,1,1,2020
11,Southeast Asia,7,biomass,1,1,2020
14,India,7,biomass,1,1,2020
1,USA,8,biomass,1,1,2020
2,Canada,8,biomass,1,1,2020
3,Western Europe,8,biomass,1,1,2020
5,Australia_NZ,8,biomass,1,1,2020
6,Former Soviet Union,8,biomass,1,1,2020
7,China,8,biomass,1,1,2020
8,Middle East,8,biomass,1,1,2020
9,Africa,8,biomass,1,1,2020
10,Latin America,8,biomass,1,1,2020
11,Southeast Asia,8,biomass,1,1,2020
12,Eastern Europe,8,biomass,1,1,2020
14,India,8,biomass,1,1,2020
1,USA,9,biomass,1,1,2020
2,Canada,9,biomass,1,1,2020
3,Western Europe,9,biomass,1,1,2020
4,Japan,9,biomass,1,1,2020
5,Australia_NZ,9,biomass,1,1,2020
6,Former Soviet Union,9,biomass,1,1,2020
7,China,9,biomass,1,1,2020
8,Middle East,9,biomass,1,1,2020
9,Africa,9,biomass,1,1,2020
10,Latin America,9,biomass,1,1,2020
11,Southeast Asia,9,biomass,1,1,2020
12,Eastern Europe,9,biomass,1,1,2020
14,India,9,biomass,1,1,2020
1,USA,10,biomass,1,1,2020
2,Canada,10,biomass,1,1,2020
3,Western Europe,10,biomass,1,1,2020
4,Japan,10,biomass,1,1,2020
5,Australia_NZ,10,biomass,1,1,2020
6,Former Soviet Union,10,biomass,1,1,2020
7,China,10,biomass,1,1,2020
8,Middle East,10,biomass,1,1,2020
9,Africa,10,biomass,1,1,2020
10,Latin America,10,biomass,1,1,2020
11,Southeast Asia,10,biomass,1,1,2020
12,Eastern Europe,10,biomass,1,1,2020
13,Korea,10,biomass,1,1,2020
14,India,10,biomass,1,1,2020
1,USA,11,biomass,1,1,2020
2,Canada,11,biomass,1,1,2020
3,Western Europe,11,biomass,1,1,2020
4,Japan,11,biomass,1,1,2020
5,Australia_NZ,11,biomass,1,1,2020
6,Former Soviet Union,11,biomass,1,1,2020
7,China,11,biomass,1,1,2020
9,Africa,11,biomass,1,1,2020
10,Latin America,11,biomass,1,1,2020
11,Southeast Asia,11,biomass,1,1,2020
12,Eastern Europe,11,biomass,1,1,2020
13,Korea,11,biomass,1,1,2020
14,India,11,biomass,1,1,2020
1,USA,12,biomass,1,1,2020
3,Western Europe,12,biomass,1,1,2020
4,Japan,12,biomass,1,1,2020
5,Australia_NZ,12,biomass,1,1,2020
6,Former Soviet Union,12,biomass,1,1,2020
7,China,12,biomass,1,1,2020
9,Africa,12,biomass,1,1,2020
10,Latin America,12,biomass,1,1,2020
11,Southeast Asia,12,biomass,1,1,2020
12,Eastern Europe,12,biomass,1,1,2020
14,India,12,biomass,1,1,2020
1,USA,13,biomass,1,1,2020
2,Canada,13,biomass,1,1,2020
3,Western Europe,13,biomass,1,1,2020
6,Former Soviet Union,13,biomass,1,1,2020
7,China,13,biomass,1,1,2020
10,Latin America,13,biomass,1,1,2020
11,Southeast Asia,13,biomass,1,1,2020
14,India,13,biomass,1,1,2020
1,USA,14,biomass,1,1,2020
2,Canada,14,biomass,1,1,2020
3,Western Europe,14,biomass,1,1,2020
6,Former Soviet Union,14,biomass,1,1,2020
7,China,14,biomass,1,1,2020
10,Latin America,14,biomass,1,1,2020
11,Southeast Asia,14,biomass,1,1,2020
14,India,14,biomass,1,1,2020
1,USA,15,biomass,1,1,2020
2,Canada,15,biomass,1,1,2020
3,Western Europe,15,biomass,1,1,2020
4,Japan,15,biomass,1,1,2020
5,Australia_NZ,15,biomass,1,1,2020
6,Former Soviet Union,15,biomass,1,1,2020
7,China,15,biomass,1,1,2020
10,Latin America,15,biomass,1,1,2020
11,Southeast Asia,15,biomass,1,1,2020
12,Eastern Europe,15,biomass,1,1,2020
14,India,15,biomass,1,1,2020
